Number,Reported_Date_Time,Occurred_From_Date_Time,Location,Description,Disposition,Narrative,School_Code,latitude,longitude
2026PU00241,2/23/26 10:09 AM,2/23/26 9:42 AM,Lilly Building,Stalking,Under Investigation,,003137,,
2026PU00242,2/23/26 1:06 PM,2/22/26 6:30 PM,CoRec,Theft,Under Investigation,,003137,,
2026PU00243,2/20/26 10:10 PM,2/20/26 9:53 PM,Mackey Arena,Battery,Nothing Further,,003137,,
2026PU00244,2/23/26 9:35 PM,2/23/26 9:06 PM,Frieda Parker Hall,Fraud,Under Investigation,,003137,,
CAD# 2026-027623,2/20/26 7:23 PM,2/20/26 7:23 PM,Frieda Parker Hall,Drug Law Violation,Nothing Further,,003137,,
CAD# 2026-027639,2/20/26 8:04 PM,2/20/26 8:04 PM,Wiley Hall,Drug Law Violation,Nothing Further,,003137,,
CAD# 2026-028307,2/21/26 10:27 PM,2/21/26 10:27 PM,Hawkins Graduate House,Drug Law Violation,Nothing Further,,003137,,
CAD# 2026-028326,2/21/26 10:54 PM,2/21/26 10:54 PM,Purdue West,Drug Law Violation,Nothing Further,,003137,,
CSA,2/23/26 11:30 AM,2/21/26 3:00 AM,Zeta Tau Alpha,Dating Violence,Nothing Further,,003137,,
2026PU00224,2/20/26 1:09 PM,2/18/26 5:50 PM,900 Blk Cary Dr,Hit & Run,Suspended,,003137,,
2026PU00225,2/20/26 1:52 PM,2/11/26 8:34 AM,Owen Hall,Fraud,Suspended,,003137,,
2026PU00227,2/21/26 12:43 AM,2/21/26 12:21 AM,Wiley Hall,Minor Consumption/ Drug Law Violation,Referred for Internal Disciplinary Review,,003137,,
2026PU00229,2/22/26 12:52 AM,2/22/26 12:27 AM,Northwestern Ave/ W Stadium Ave,Driving While Suspended,Arrest Made,,003137,,
2026PU00230,2/22/26 4:11 AM,2/22/26 3:45 AM,Aspire Apts,Minor Consumption,Referred for Internal Disciplinary Review,,003137,,
2026PU00231,2/22/26 4:37 AM,2/22/26 4:17 AM,Purdue Memorial Union,Public Intoxication,Referred for Internal Disciplinary Review,,003137,,
2026PU00232,2/22/26 12:52 PM,2/22/26 2:30 AM,1st St Towers,Theft,Pending Prosecutor Review,,003137,,
2026PU00233,2/22/26 1:19 PM,2/11/26 7:54 PM,1200 Blk 1st St,Invasion of Privacy,Pending Prosecutor Review,,003137,,
2026PU00235,2/22/26 7:37 PM,2/22/26 6:30 PM,Earhart Hall,Theft,Under Investigation,,003137,,
2026PU00237,2/22/26 8:59 PM,2/22/26 8:56 PM,Stewart Center,Theft,Under Investigation,,003137,,
2026PU00238,2/22/26 11:20 PM,2/20/26 4:00 PM,100 Blk N Russell St,Hit & Run,Under Investigation,,003137,,
2026PU00239,2/23/26 1:59 AM,2/22/26 5:54 PM,200 Blk McCutcheon Dr,Hit & Run,Suspended,,003137,,
CAD# 2026-026855,2/19/26 12:55 PM,2/19/26 12:55 PM,500 Blk Waldron St,Burglary,Nothing Further,,003137,,
CSA,2/22/26 10:00 AM,Unknown Date,Unknown Campus Location,Criminal Mischief,Nothing Further,,003137,,
2026PU00221,2/20/26 1:16 AM,2/20/26 12:53 AM,Pi Beta Phi,Minro Consumption,Referred for Internal Disciplinary Review,,003137,,
CAD# 2026-026504,2/18/26 9:10 PM,2/18/26 9:10 PM,Hawkins Hall,Drug Law Violation,Nothing Further,,003137,,
2026PU00215,2/18/26 7:16 PM,2/18/26 6:46 PM,Meredith South,Fraud/ Intimidation,Under Investigation,,003137,,
2026PU00217,2/18/26 11:59 PM,2/18/26 10:30 PM,Wiley Hall,Battery,Unfounded,,003137,,
2026PU00218,2/19/26 12:22 AM,2/18/26 11:57 PM,Harrison Hall,Theft-Bike,Under Investigation,,003137,,
2026PU00219,2/19/26 12:33 AM,2/19/26 12:11 AM,Purdue West,Drug Law Violation,Referred for Internal Disciplinary Review,,003137,,
2026PU00211,2/7/26 4:40 PM,2/6/26 10:30 AM,Hawkins Hall,Identity Theft,Under Investigation,,003137,,
2026PU00213,2/17/26 8:51 PM,2/17/26 3:36 PM,Meredith Hall,Intimidation/ Fraud,Under Investigation,,003137,,
CAD# 2026-025455,2/17/26 12:46 AM,2/17/26 12:46 AM,Kappa Sigma,Hit & Run,Nothing Further,,003137,,
2026PU00205,2/16/26 10:41 AM,2/16/26 9:12 AM,CoRec,Theft,Under Investigation,,003137,,
2026PU00206,2/16/26 11:05 AM,2/12/26 5:45 PM,4th St/N University St,Hit & Run,Under Investigation,,003137,,
2026PU00209,2/16/26 9:40 PM,2/16/26 8:57 PM,N Martin Jischke Dr/Mitch Daniels Blvd,Hit & Run,Under Investigation,,003137,,
2026PU00210,2/17/26 2:03 AM,2/17/26 1:48 AM,Cherry Ln/US HWY 231 N,Operating Without Ever Receiving a License,Arrest Made,,003137,,
CAD# 2026-024719,2/15/26 5:45 PM,2/15/26 5:45 PM,500 Blk Northwestern Ave,Reckless Driver,Nothing Further,,003137,,
CAD# 2026-024900,2/16/26 12:17 AM,2/16/26 12:17 AM,Meredith South Hall,Drug Law Violation,Nothing Further,,003137,,
2026PU00196,2/13/26 9:25 AM,1/26/26 1:46 AM,Honors College North,Theft,Pending Prosecutor Review,,003137,,
2026PU00197,2/13/26 11:30 AM,2/3/26 10:00 AM,Owen Hall,Theft,Pending Prosecutor Review,,003137,,
2026PU00198,2/13/26 3:24 PM,2/12/26 3:03 PM,Earhart Hall,Theft,Under Investigation,,003137,,
2026PU00199,2/14/26 1:21 AM,2/14/26 12:20 AM,US 231/ S River Rd,Operating While Intoxicated,Arrest Made,,003137,,
2026PU00200,2/14/26 11:23 PM,2/14/26 10:47 PM,McCutcheon Hall,Drug Law Violation,Arrest Made,,003137,,
2026PU00201,2/14/26 11:47 PM,2/14/26 10:59 PM,US 231/ S Martin Jischke Dr,Driving Never Receiving License,Arrest Made,,003137,,
2026PU00202,2/15/26 12:53 AM,2/15/26 12:35 AM,Owen Hall,Minor Consumption,Referred for Internal Disciplinary Review,,003137,,
2026PU00204,2/15/26 7:16 PM,2/15/26 6:52 PM,Northwestern Ave/ Northridge Dr,Drug Law Violation/ Driving While Suspended,Arrest Made,,003137,,
CAD# 2026-023631,2/13/26 3:23 PM,2/13/26 3:23 PM,Tarkington Hall,Drug Law Violation,Nothing Further,,003137,,
CAD# 2026-023674,2/13/26 4:59 PM,2/13/26 4:59 PM,US HWY 231 S/S River Rd,Driving While Suspended,Documented in 2026WL00334,,003137,,
CAD# 2026-023763,2/13/26 8:25 PM,2/13/26 8:25 PM,3rd & West,Theft,Nothing Further,,003137,,
CAD# 2026-024036,2/14/26 11:12 AM,2/14/26 11:12 AM,US HWY 231 S/S River Rd,Driving While Suspended,Documented in 2026WL00341,,003137,,
CAD# 2026-024066,2/14/26 12:10 PM,2/14/26 12:10 PM,US HWY 231 S/S River Rd,Driving While Suspended,Documented in 2026WL00343,,003137,,
2026PU00187,2/12/26 12:05 PM,2/11/26 8:00 AM,Shreve Hall,Criminal Mischief,Suspended,,003137,,
2026PU00188,2/12/26 12:05 PM,2/11/26 10:56 AM,Hawkins Hall,Theft,Under Investigation,,003137,,
2026PU00189,2/12/26 1:41 PM,2/2/26 2:45 AM,Russell 414,Fraud,Under Investigation,,003137,,
2026PU00190,2/12/26 5:01 PM,10/7/25 9:00 PM,Honors College North,Theft-Bike,Suspended,,003137,,
2026PU00191,2/12/26 5:44 PM,2/12/26 3:45 PM,3rd & West Apts,Theft,Under Investigation,,003137,,
2026PU00192,2/12/26 6:50 PM,2/12/26 6:28 PM,3rd & West Apts,Blackmail,Suspended,,003137,,
2026PU00194,2/13/26 3:05 AM,2/13/26 1:35 AM,500 Blk Northwestern Ave,Operating While Intoxicated,Arrest Made,,003137,,
CSA,2/12/26 7:30 PM,Spring 2026,On-Campus Housing,Dating Violence,Nothing Further,,003137,,
2026PU00182,2/11/26 11:47 AM,1/17/26 10:54 PM,1100 Blk 3rd St,Theft/ Criminal Mischief,Referred for Internal Disciplinary Review,,003137,,
2026PU00183,2/11/26 7:25 PM,2/4/26 6:00 PM,Wilmeth Active Learning Center,Theft,Under Investigation,,003137,,
2026PU00176,2/10/26 2:19 PM,2/8/26 3:05 AM,Honors College North,Theft,Arrest Made,,003137,,
2026PU00177,2/10/26 4:23 PM,2/7/26 3:59 PM,Aspire Apts,Fraud,Under Investigation,,003137,,
2026PU00178,2/10/26 4:59 PM,2/9/26 8:44 PM,3rd & West Apts,Theft,Under Investigation,,003137,,
CAD# 2026-021388,2/9/26 5:03 PM,2/9/26 5:03 PM,University St Parking Garage,Hit & Run,Nothing Further,,003137,,
2026PU00169,2/9/26 8:43 AM,8/21/25 12:00 AM,Krannert Center,Theft-EMPV,Under Investigation,,003137,,
2026PU00171,2/9/26 7:50 PM,2/9/26 1:00 AM,Grant St Garage,Theft-Vehicle,Suspended,,003137,,
2026PU00172,2/9/26 9:36 PM,2/8/26 4:00 PM,Purdue Memorial Union,Theft,Under Investigation,,003137,,
2026PU00173,2/10/26 5:20 AM,2/10/26 5:20 AM,Beering Hall,Criminal Mischief,Suspended,,003137,,
CAD# 2026-020989,2/8/26 11:11 PM,2/8/26 11:11 PM,500 Blk US HWY 231 S,Reckless Driver,Nothing Further,,003137,,
CAD# 2026-021346,2/9/26 3:30 PM,2/9/26 3:30 PM,Northwestern Ave/Lindberg Rd,Reckless Driver,Nothing Further,,003137,,
2026PU00154,2/6/26 11:32 AM,2/6/26 10:30 AM,Hawkins Hall,Fraud,Under Investigation,,003137,,
2026PU00156,2/6/26 2:33 PM,2/6/26 1:38 PM,900 Blk Mitch Daniels Blvd,Driving While Suspended,Arrest Made,,003137,,
2026PU00157,2/6/26 4:05 PM,2/5/26 5:37 PM,CoRec,Theft,Closed,,003137,,
2026PU00158,2/6/26 7:57 PM,2/6/26 12:00 PM,Academy Park,Theft-Bike,Under Investigation,,003137,,
2026PU00160,2/7/26 1:05 AM,2/7/26 1:00 AM,Wade Power Plant,Trespass/ Minor Consumption/ Public Intoxication,Arrest Made,,003137,,
2026PU00162,2/7/26 7:53 PM,2/7/26 7:27 PM,Hawkins Hall,Theft,Under Investigation,,003137,,
2026PU00163,2/8/26 12:18 AM,2/8/26 12:02 AM,McCutcheon Hall,Minor Consumption,Referred for Internal Disciplinary Review,,003137,,
2026PU00164,2/8/26 1:48 AM,2/8/26 1:26 AM,Acacia House,Battery/ Minor Consumption/ Criminal Mischief,Closed,,003137,,
2026PU00167,2/8/26 12:15 PM,2/7/26 10:00 PM,Aspire Apts.,Hit & Run,Suspended,,003137,,
CAD# 2026-019526,2/5/26 10:50 PM,2/5/26 10:50 PM,Frieda Parker Hall,Drug Law Violation,Nothing Further,,003137,,
CAD# 2026-019830,2/6/26 1:31 PM,2/6/26 1:31 PM,W Stadium Ave/N Russell St,Reckless Driver,Nothing Further,,003137,,
2 Disciplinary Referrals,1/18/26 11:51 PM,1/18/26 10:15 PM,Harrison Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,1/22/26 11:31 AM,1/21/26 11:47 PM,Wiley Hall,Drug Law Violation,Judicial Review,,003137,,
3 Disciplinary Referrals,1/23/26 4:18 PM,1/23/26 1:30 PM,3rd and West apts.,Liquor Law Violation,Judicial Review,,003137,,
3 Disciplinary Referrals,1/24/26 3:03 AM,1/24/26 3:00 AM,Tarkington Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,1/26/26 11:48 PM,1/26/26 8:30 PM,Wiley Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,1/26/26 11:38 PM,1/26/26 10:30 PM,Wiley Hall,Liquor Law Violation,Judicial Review,,003137,,
2 Disciplinary Referrals,1/26/26 11:38 PM,1/26/26 10:30 PM,Wiley Hall,Drug Law Violation,Judicial Review,,003137,,
6 Disciplinary Referrals,1/27/26 9:24 PM,1/27/26 8:30 PM,Winifred Parker Hall,Liquor Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,1/27/26 11:44 PM,1/27/26 9:00 PM,Aspire Apts.,Liquor Law Violation,Judicial Review,,003137,,
2026PU00149,2/5/26 8:12 AM,2/5/26 3:00 AM,Harrison Hall,Criminal Mischief/ Theft,Suspended,,003137,,
2026PU00150,2/5/26 8:36 AM,2/5/26 3:00 AM,Harrison Hall,Theft,Suspended,,003137,,
2026PU00145,2/4/26 8:30 AM,2/3/26 8:30 AM,Hawkins Hall,Criminal Mischief,Suspended,,003137,,
2026PU00146,2/4/26 1:32 PM,1/27/26 12:00 AM,Krannert Center,Criminal Mischief,Suspended,,003137,,
CAD# 2026-018635,2/4/26 9:36 AM,2/4/26 9:36 AM,800 Blk Beering Dr,Operating Without Ever Receiving a License,Documented in 2026WL00276,,003137,,
2026PU00137,2/3/26 11:54 AM,1/27/26 12:00 PM,Aspire Apts,Theft-EMPV,Suspended,,003137,,
2026PU00139,2/3/26 3:28 PM,2/1/26 2:01 AM,Alpha Kappa Lambda,Harassment/ Residential Entry,Under Investigation,,003137,,
2026PU00122,2/1/26 2:44 AM,2/1/26 2:01 AM,400 Blk Waldron St,Hazing/ Minor Consumption,Under Investigation,,003137,,
CAD# 2026-016187,1/31/26 1:23 AM,1/31/26 1:23 AM,Hillenbrand Hall,Drug Law Violation,Nothing Further,,003137,,
CAD# 2026-016606,1/31/26 9:15 PM,1/31/26 9:15 PM,Harrison St/S Chauncey Ave,Reckless Driver,Nothing Further,,003137,,
CAD# 2026-017058,2/1/26 6:03 PM,2/1/26 6:03 PM,Northwestern Ave/N Grant St,Road Rage,Nothing Further,,003137,,
CAD# 2026-017549,2/2/26 3:02 PM,2/2/26 3:02 PM,Northwestern Ave/N Grant St,Reckless Driver,Nothing Further,,003137,,
2026PU00115,1/30/26 7:39 AM,1/30/26 7:22 AM,Wiley Hall,Criminal Mischief,Under Investigation,,003137,,
2026PU00116,1/30/26 11:15 AM,1/27/26 10:00 AM,Biochemistry Building,Criminal Mischief,Suspended,,003137,,
2026PU00118,1/30/26 1:29 PM,9/1/25 8:00 AM,Stanley Coulter,Criminal Mischief,Under Investigation,,003137,,
2026PU00120,1/31/26 4:44 AM,1/31/26 4:10 AM,Shreve Hall,Residential Entry/ Minor Consumption,Referred for Internal Disciplinary Review,,003137,,
2026PU00121,1/31/26 10:48 AM,1/30/26 11:00 PM,Earhart Hall,Criminal Mischief,Under Investigation,,003137,,
2026PU00124,2/1/26 1:44 PM,1/31/26 9:30 PM,First St Towers,Minor Consumption/ Drug Law Violation,Under Investigation,,003137,,
2026PU00125,2/1/26 8:03 PM,2/1/26 11:24 AM,Young Hall,Fraud,Under Investigation,,003137,,
CAD# 2026-015364,1/29/26 4:15 PM,1/29/26 4:15 PM,CoRec,Theft,Nothing Further,,003137,,
CAD# 2026-015508,1/29/26 9:01 PM,1/29/26 9:01 PM,US HWY 231 N/Lindberg Rd,Reckless Driver,Nothing Further,,003137,,
CSA,1/30/26 3:30 PM,2/7/25 12:00 AM,On-Campus Housing,Rape,Nothing Further,,003137,,
2026PU00110,1/29/26 8:56 PM,1/29/26 3:45 PM,Stewart Center,Theft,Unfounded,,003137,,
2026PU00111,1/29/26 9:47 PM,1/29/26 9:21 PM,1300 Blk W Stadium Ave,Drug Law Violation,Arrest Made,,003137,,
2026PU00112,1/29/26 11:22 PM,1/29/26 9:20 PM,Meredith South,Residential Entry,Suspended,,003137,,
2026PU00114,1/30/26 12:49 AM,1/30/26 12:38 AM,Owen Hall,Minor Consumption,Nothing Further,,003137,,
CAD# 2026-014956,1/29/26 12:03 AM,1/29/26 12:03 AM,US HWY 231 N/Cherry Ln,Reckless Driver,Nothing Further,,003137,,
CSA,1/28/26 12:00 AM,1/25/2026 Unknown Time,Unknown On Campus Location,Sexual Assault,Nothing Further,,003137,,
2026PU00106,1/28/26 8:24 PM,1/28/26 7:00 PM,Materials and Electrical Engineering,Theft,Under Investigation,,003137,,
2026PU00095,1/27/26 12:02 PM,1/23/26 1:00 PM,Hagle Hall,Theft-Bike,Under Investigation,,003137,,
2026PU00096,1/27/26 2:10 PM,1/26/26 4:30 PM,CoRec,Theft,Unfounded,,003137,,
2026PU00097,1/27/26 8:29 PM,1/27/26 7:47 PM,Northwestern Ave/ Dodge St,Driving While Suspended,Arrest Made,,003137,,
2026PU00098,1/28/26 12:16 AM,1/27/26 9:08 AM,Wiley Hall,Theft,Closed,,003137,,
2026PU00092,1/26/26 12:05 PM,1/26/26 12:05 PM,Earhart Hall,Criminal Mischief,Suspended,,003137,,
2026PU00093,1/26/26 5:06 PM,1/14/26 3:30 PM,Krannert Center,Theft,Suspended,,003137,,
2026PU00094,1/26/26 11:12 PM,1/26/26 10:34 PM,Wiley Hall,Minor Possession/ Drug Law Violation,Nothing Further,,003137,,
CAD# 2026-012072,1/23/26 5:48 PM,1/23/26 5:48 PM,Winifred Parker Hall,Fraud,Nothing Further,,003137,,
1 Disciplinary Referral,1/14/26 1:34 PM,1/14/26 12:45 PM,Shreve Hall,Liquor Law Violation,Judicial Review,,003137,,
2 Disciplinary Referrals,1/13/26 12:02 AM,1/12/26 10:39 PM,Frieda Parker Hall,Drug Law Violation,Judicial Review,,003137,,
1 Disciplinary Referral,1/16/26 4:10 PM,1/16/26 10:30 AM,Hawkins Hall,Liquor Law Violation,Judicial Review,,003137,,
9 Disciplinary Referral,1/17/26 1:49 AM,1/16/26 11:15 PM,Cary Quad,Liquor Law Violation,Judicial Review,,003137,,
2026PU00084,1/23/26 8:40 AM,1/23/26 7:25 AM,Waldron St/ 5th St,Hit & Run,Unfounded,,003137,,
2026PU00086,1/23/26 4:12 PM,1/23/26 3:42 PM,Aspire Apts,Fraud,Under Investigation,,003137,,
2026PU00088,1/24/26 8:31 PM,1/24/26 8:31 PM,Hillenbrand Hall,Minor Consumption,Nothing Further,,003137,,
2026PU00079,1/22/26 12:16 PM,12/15/25 4:48 PM,3rd & West,Theft,Suspended,,003137,,
2026PU00080,1/16/26 11:04 AM,1/16/26 11:04 AM,Phi Kappa Psi,Theft-Vehicle,Unfounded,,003137,,
2026PU00083,1/23/26 2:28 AM,1/23/26 12:00 AM,Cary Quadrangle,Theft,Unfounded,,003137,,
2026PU00066,1/18/26 8:14 PM,1/18/26 7:26 PM,Animal Holding Facility,Harassment,Suspended,,003137,,
2026PU00078,1/22/26 3:38 AM,1/22/26 3:13 AM,Purdue West,Drug Law Violation,Arrest Made,,003137,,
CAD# 2026-007796,1/16/26 2:05 AM,1/16/26 2:05 AM,Northwestern Ave/Lindberg Rd,Public Intoxication,Documented in 2026WL00109,,003137,,
CAD# 2026-010484,1/20/26 10:29 PM,1/20/26 10:29 PM,Mitch Daniels Blvd/S Grant St,Reckless Driver,Nothing Further,,003137,,
CAD# 2026-008432,1/17/26 1:07 AM,1/17/26 1:07 AM,S River Rd/Ahlers Dr,Operating While Intoxicated,Documented in 2026WL00121,,003137,,
CAD# 2026-010078,1/20/26 11:24 AM,1/20/26 11:24 AM,US HWY 231 S/S River Rd,Reckless Driver,Nothing Further,,003137,,
2026PU00050,1/16/26 9:39 AM,1/15/26 7:30 PM,Wilmeth Active Learning Center,Theft-Bike,Suspended,,003137,,
2026PU00053,1/16/26 8:11 PM,12/12/25 10:15 PM,Math Building,Burglary,Under Investigation,,003137,,
2026PU00054,1/16/26 11:50 PM,1/16/26 11:34 PM,Meredith South,Minor Consumption,Nothing Further,,003137,,
2026PU00058,1/17/26 8:40 PM,1/17/26 8:09 PM,Cary Quadrangle,Drug Law Violations,Closed,,003137,,
2026PU00059,1/17/26 10:39 PM,1/17/26 7:45 PM,Shreve Hall,Minor Consumption,Nothing Further,,003137,,
2026PU00060,1/18/26 1:52 AM,1/17/26 10:00 PM,Meredith South,Minor Consumption,Nothing Further,,003137,,
2026PU00062,1/18/26 2:06 AM,1/17/26 11:57 PM,Earhart Hall,Minor Consumption,Nothing Further,,003137,,
2026PU00063,1/18/26 2:31 AM,1/18/26 2:10 AM,Meredith Hall,Minor Consumption,Nothing Further,,003137,,
2026PU00065,1/18/26 4:58 AM,1/18/26 4:38 AM,Earhart Hall,Minor Consumption,Nothing Further,,003137,,
2026PU00067,1/18/26 10:46 PM,1/18/26 10:17 PM,Harrison Hall,Minor Consumption,Closed,,003137,,
2026PU00068,1/19/26 2:23 AM,1/18/26 10:00 AM,Honors College South,Minor Consumption,Nothing Further,,003137,,
2026PU00069,1/19/26 1:18 PM,11/15/25 12:00 PM,Stewart Center,Theft-Bike,Closed,,003137,,
CAD# 2026-008001,1/16/26 11:04 AM,1/16/26 11:04 AM,Phi Kappa Psi,Theft-Vehicle,Nothing Further,,003137,,
CSA,1/16/26 3:00 PM,10/1/25 12:00 AM,400 Blk W Wood St,Sexual Assault,Nothing Further,,003137,,
2026PU00047,1/15/26 2:13 PM,1/15/26 10:48 AM,3rd & West,Fraud,Under Investigation,,003137,,
2026PU00048,1/15/26 2:13 PM,1/15/26 1:58 PM,300 Blk Centennial Mall Dr,Theft-Bike,Unfounded,,003137,,
CSA,1/14/26 12:50 PM,Unknown Fall 2025,Benchmark II,Theft,Nothing Further,,003137,,
CSA,1/15/26 11:00 AM,Unknown Jan 2026,Hawkins Hall,Criminal Mischief,Nothing Further,,003137,,
2026PU00036,1/13/26 4:04 PM,1/13/26 3:38 PM,Wood St Garage,Hit & Run,Unfounded,,003137,,
2026PU00041,1/14/26 11:18 AM,12/22/26 11:30 AM,McCutcheon Hall,Theft,Under Investigation,,003137,,
2026PU00042,1/14/26 12:20 PM,1/14/26 11:55 AM,3rd & West,Fraud,Under Investigation,,003137,,
CSA,1/13/26 4:45 PM,1/13/2026  Unknown Time,900 Blk Mitch Daniels Blvd,Stalking,Nothing Further,,003137,,
2026PU00037,1/13/26 4:52 PM,12/15/25 4:49 PM,Phi Gamma Delta,Theft,Under Investigation,,003137,,
CAD# 2026-005709,1/12/26 4:08 PM,1/12/26 4:08 PM,US HWY 231 S/Airport Rd,Hit & Run,Nothing Further,,003137,,
CAD# 2026-006023,1/13/26 1:58 AM,1/13/26 1:58 AM,Cary Quad East,Theft-Bike,Nothing Further,,003137,,
CAD# 2026-006207,1/13/26 11:48 AM,1/13/26 11:48 AM,Mitch Daniels Blvd/Marsteller St,Criminal Mischief,Documented in 2026WL00087,,003137,,
CAD# 2026-006293,1/13/26 2:23 PM,1/13/26 2:23 PM,Lilly Hall,Stalking,Nothing Further,,003137,,
2026PU00033,1/12/26 7:27 AM,1/11/26 4:30 PM,Mackey Arena,Theft,Under Investigation,,003137,,
2026PU00034,"1-12 23""26",1/12/26 10:41 PM,Frieda Parker Hall,Drug Law Violation,Nothing Further,,003137,,
2026PU00018,1/9/26 1:34 PM,12/17/25 10:23 AM,Shreve Hall,Theft,Under Investigation,,003137,,
2026PU00024,1/10/26 3:45 PM,1/10/26 3:22 PM,Wood St Garage,Criminal Mischief,Suspended,,003137,,
2026PU00027,1/11/26 2:23 AM,1/11/26 1:40 AM,US 231/ S Martin Jischke Dr,Drug Law Violation,Arrest Made,,003137,,
2026PU00028,1/11/26 4:03 AM,1/11/26 2:45 AM,US 231/ S River Rd,Operating While Intoxicated,Arrest Made,,003137,,
2026PU00029,1/11/26 5:40 AM,1/11/26 5:22 AM,Harrison Hall,Minor Consumption,Nothing Further,,003137,,
2026PU00032,1/11/26 9:00 PM,1/11/26 8:43 PM,Hawkins Hall,Trespass,Arrest Made,,003137,,
CAD# 2026-004340,1/9/26 9:43 PM,1/9/26 9:43 PM,Provenance Apts,Burglary,Documented in WLPD 2026WL00064,,003137,,
1 Disciplinary Referral,12/21/25 11:18 AM,12/21/25 11:15 AM,Frieda Parker Hall,Liquor Law Violation,Judicial Review,,003137,,
2 Disciplinary Referrals,12/21/25 1:03 PM,12/21/25 11:30 AM,Harrison Hall,Liquor Law Violation,Judicial Review,,003137,,
2 Disciplinary Referrals,12/21/25 12:24 PM,12/21/25 12:00 PM,Fuse Apts.,Liquor Law Violation,Judicial Review,,003137,,
1 Didciplinary Referral,12/21/25 2:15 PM,12/21/25 12:30 PM,Hillenbrand Hall,Liquor Law Violation,Judicial Review,,003137,,
2026PU00015,1/8/26 2:54 PM,10/17/25 2:22 PM,Aspire Apts,Theft,Unfounded,,003137,,
2026PU00016,1/8/26 7:47 PM,1/8/26 6:35 PM,Nelson Hall,Harassment,Closed,,003137,,
CSA,1/7/26 10:07 PM,1/7/26 9:46 PM,Elliott Hall of Music,Theft,Under Investigation,,003137,,
2026PU00007,1/6/26 9:22 AM,1/3/26 12:01 AM,Earhart Hall,Criminal Mischief,Under Investigation,,003137,,
2026PU00010,1/6/26 4:45 PM,1/6/26 4:11 PM,US 231/ Cherry Ln,Drug Law Violation,Closed,,003137,,
CAD# 2026-000165,1/1/26 11:11 AM,1/1/26 11:11 AM,600 Blk S River Rd,Drug Law Violation,Documented in WLPD 2026WL00003,,003137,,
2026PU00005,1/6/26 1:01 AM,12/31/25 3:29 PM,Cary Quadrangle,Theft,Under Investigation,,003137,,
CAD# 2025-000822,1/2/26 9:44 PM,1/2/26 9:44 PM,Wood St Garage,Reckless Driving,Under Investigation,,003137,,
2 Disciplinary Referrals,12/5/25 10:56 PM,12/5/25 10:00 PM,Wiley Hall,Liquor Law Violation,Judicial Review,,003137,,
